#,Service,Opened On,Resolved On,Resolved By,Duration,# Escalations

3596,Icinga,2014-02-11 18:20:10 UTC,2014-02-11 18:24:59 UTC,,5 minutes,0
3597,Icinga,2014-02-11 20:00:30 UTC,2014-02-11 20:05:40 UTC,Support Member,5 minutes,0
3598,Icinga,2014-02-11 20:04:19 UTC,2014-02-11 20:05:47 UTC,Support Member,1 minute,0
3599,Icinga,2014-02-11 20:15:51 UTC,2014-02-11 20:20:40 UTC,,5 minutes,0
3600,Icinga,2014-02-11 20:17:00 UTC,2014-02-11 20:21:38 UTC,Support Member,5 minutes,0
3601,Icinga,2014-02-11 20:20:09 UTC,2014-02-11 20:21:43 UTC,Support Member,2 minutes,0
3602,Icinga,2014-02-11 20:20:30 UTC,2014-02-11 20:21:52 UTC,Support Member,1 minute,0
3603,Icinga,2014-02-11 20:42:03 UTC,2014-02-11 20:46:01 UTC,Support Member,4 minutes,0
3604,Icinga,2014-02-11 20:45:22 UTC,2014-02-11 20:45:55 UTC,Support Member,half a minute,0
3605,Icinga,2014-02-11 20:51:34 UTC,2014-02-11 20:54:57 UTC,Support Member,3 minutes,0
3606,Icinga,2014-02-11 21:15:30 UTC,2014-02-11 21:44:31 UTC,,29 minutes,2
3607,Icinga,2014-02-11 21:18:29 UTC,2014-02-11 21:44:30 UTC,,26 minutes,2
3608,Icinga,2014-02-11 21:32:30 UTC,2014-02-11 21:47:30 UTC,,15 minutes,1
3609,Icinga,2014-02-11 21:33:23 UTC,2014-02-11 21:45:09 UTC,,12 minutes,1
3610,Icinga,2014-02-11 21:34:22 UTC,2014-02-11 21:42:20 UTC,,8 minutes,1
3611,Icinga,2014-02-11 21:36:12 UTC,2014-02-11 21:44:09 UTC,,8 minutes,1
3612,Icinga,2014-02-11 21:36:24 UTC,2014-02-11 21:44:19 UTC,,8 minutes,1
3613,Icinga,2014-02-11 21:57:10 UTC,2014-02-11 22:01:11 UTC,Support Member,4 minutes,0
3614,Icinga,2014-02-11 22:01:14 UTC,2014-02-11 22:01:37 UTC,Support Member,half a minute,0
3615,Icinga,2014-02-11 23:11:34 UTC,2014-02-11 23:15:45 UTC,Support Member,4 minutes,0
3616,Icinga,2014-02-11 23:14:24 UTC,2014-02-11 23:15:50 UTC,Support Member,1 minute,0
3617,Icinga,2014-02-11 23:44:40 UTC,2014-02-11 23:49:53 UTC,Support Member,5 minutes,0
3618,Icinga,2014-02-11 23:48:31 UTC,2014-02-11 23:49:58 UTC,Support Member,1 minute,0
3619,Icinga,2014-02-11 23:54:10 UTC,2014-02-12 00:02:27 UTC,Support Member,8 minutes,0
