#,Service,Opened On,Resolved On,Resolved By,Duration,# Escalations
3549,Icinga,2014-02-10 00:50:15 UTC,2014-02-10 00:54:19 UTC,Support Member,4 minutes,0
3550,Icinga,2014-02-10 08:47:55 UTC,2014-02-10 08:50:46 UTC,,3 minutes,0
3551,Icinga,2014-02-10 10:27:14 UTC,2014-02-10 11:00:07 UTC,,33 minutes,1
3552,Icinga,2014-02-10 10:27:33 UTC,2014-02-10 10:59:43 UTC,,32 minutes,1
3553,Icinga,2014-02-10 11:58:44 UTC,2014-02-10 11:59:38 UTC,Lorenzo Santi,less than a minute,0
3554,Icinga,2014-02-10 12:21:34 UTC,2014-02-10 12:27:06 UTC,,6 minutes,0
3555,Icinga,2014-02-10 15:12:55 UTC,2014-02-10 15:24:55 UTC,,12 minutes,0
3556,Icinga,2014-02-10 15:14:14 UTC,2014-02-10 15:57:30 UTC,Lorenzo Santi,43 minutes,0
3557,Icinga,2014-02-10 15:51:54 UTC,2014-02-10 15:57:29 UTC,Lorenzo Santi,6 minutes,0
3558,Icinga,2014-02-10 15:51:55 UTC,2014-02-10 15:57:29 UTC,Lorenzo Santi,6 minutes,0
3559,Icinga,2014-02-10 15:52:06 UTC,2014-02-10 15:57:29 UTC,Lorenzo Santi,5 minutes,0
3560,Icinga,2014-02-10 15:52:35 UTC,2014-02-10 15:57:29 UTC,Lorenzo Santi,5 minutes,0
3561,Icinga,2014-02-10 15:53:45 UTC,2014-02-10 15:57:29 UTC,Lorenzo Santi,4 minutes,0
3562,Icinga,2014-02-10 15:54:44 UTC,2014-02-10 15:57:29 UTC,Lorenzo Santi,3 minutes,0
3563,Icinga,2014-02-10 16:08:36 UTC,2014-02-10 16:47:30 UTC,,39 minutes,0
3564,Icinga,2014-02-10 16:22:45 UTC,2014-02-10 17:57:42 UTC,Lorenzo Santi,about 2 hours,0
3565,Icinga,2014-02-10 16:47:32 UTC,2014-02-10 17:36:21 UTC,Support Member,about 1 hour,1
3566,Icinga,2014-02-10 16:50:00 UTC,2014-02-10 17:36:44 UTC,Support Member,about 1 hour,1
3567,Icinga,2014-02-10 18:20:10 UTC,2014-02-10 18:25:09 UTC,,5 minutes,0
3568,Icinga,2014-02-10 23:12:42 UTC,2014-02-10 23:17:58 UTC,Support Member,5 minutes,0
3569,Icinga,2014-02-10 23:15:59 UTC,2014-02-10 23:18:07 UTC,Support Member,2 minutes,0
3570,Icinga,2014-02-10 23:31:29 UTC,2014-02-10 23:36:16 UTC,Support Member,5 minutes,0
3571,Icinga,2014-02-10 23:39:29 UTC,2014-02-10 23:44:19 UTC,,5 minutes,0
3572,Icinga,2014-02-10 23:42:20 UTC,2014-02-10 23:44:18 UTC,Support Member,2 minutes,0
